Customer,Count of Customer,Count of Pre Customer,Perc_transac_change,Post TRAN_AMT,Pre TRAN_AMT,Perce_Amnt_change
767001449,17877,12,148875.00%,164643072180.83002,₦101817400.00,161604.26%
772418347,17877,12,148875.00%,164643072180.83002,₦79890530.00,205985.84%
786407044,17877,12,148875.00%,164643072180.83002,₦167217600.00,98360.37%
795435021,17877,12,148875.00%,164643072180.83002,₦82916500.00,198464.91%
105038000,17877,11,162418.18%,164643072180.83002,₦164495000.00,99990.02%
110084874,17877,11,162418.18%,164643072180.83002,₦107685600.00,152792.38%
154101969,17877,11,162418.18%,164643072180.83002,₦70600000.00,233105.48%
162416001,17877,11,162418.18%,164643072180.83002,₦82136500.00,200350.56%
167022492,17877,11,162418.18%,164643072180.83002,₦138250000.00,118990.83%
175437515,17877,11,162418.18%,164643072180.83002,₦55000000.00,299251.04%
187431131,17877,11,162418.18%,164643072180.83002,₦55000000.00,299251.04%
191405022,17877,11,162418.18%,164643072180.83002,₦82584300.00,199263.65%
201014605,17877,11,162418.18%,164643072180.83002,₦71828900.00,229115.64%
220419978,17877,11,162418.18%,164643072180.83002,₦85857500.00,191663.18%
230502346,17877,11,162418.18%,164643072180.83002,₦74930500.00,219627.71%
250439431,17877,11,162418.18%,164643072180.83002,₦87503500.00,188055.98%
284418007,17877,11,162418.18%,164643072180.83002,₦55000000.00,299251.04%
290406596,17877,11,162418.18%,164643072180.83002,₦87123000.00,188877.74%
297008557,17877,11,162418.18%,164643072180.83002,₦306915000.00,53544.52%
298000074,17877,11,162418.18%,164643072180.83002,₦100670325.00,163446.78%
324002508,17877,11,162418.18%,164643072180.83002,₦75614500.00,217640.08%
346011593,17877,11,162418.18%,164643072180.83002,₦87202800.00,188704.80%
351033997,17877,11,162418.18%,164643072180.83002,₦97370000.00,168990.14%
356405510,17877,11,162418.18%,164643072180.83002,₦69710000.00,236082.86%
357408057,17877,11,162418.18%,164643072180.83002,₦112900000.00,145730.89%
360413336,17877,11,162418.18%,164643072180.83002,₦99124200.00,165997.76%
363024492,17877,11,162418.18%,164643072180.83002,₦95490000.00,172319.18%
370434313,17877,11,162418.18%,164643072180.83002,₦120078785.00,137012.54%
418025200,17877,11,162418.18%,164643072180.83002,₦71951380.00,228725.45%
445007733,17877,11,162418.18%,164643072180.83002,₦70700000.00,232775.63%
496438600,17877,11,162418.18%,164643072180.83002,₦139430000.00,117982.96%
543408732,17877,11,162418.18%,164643072180.83002,₦119775000.00,137360.30%
609001243,17877,11,162418.18%,164643072180.83002,₦84453500.00,194851.15%
630008095,17877,11,162418.18%,164643072180.83002,₦137669000.00,119493.42%
631005585,17877,11,162418.18%,164643072180.83002,₦89424665.00,184013.71%
651004210,17877,11,162418.18%,164643072180.83002,₦81158350.00,202766.46%
652419612,17877,11,162418.18%,164643072180.83002,₦78698500.00,209107.38%
663410777,17877,11,162418.18%,164643072180.83002,₦80465000.00,204514.52%
680012076,17877,11,162418.18%,164643072180.83002,₦89870000.00,183101.37%
681402698,17877,11,162418.18%,164643072180.83002,₦97503520.00,168758.59%
681403141,17877,11,162418.18%,164643072180.83002,₦74980000.00,219482.65%
711411511,17877,11,162418.18%,164643072180.83002,₦55000000.00,299251.04%
718000977,17877,11,162418.18%,164643072180.83002,₦55000000.00,299251.04%
726416223,17877,11,162418.18%,164643072180.83002,₦55000000.00,299251.04%
729407019,17877,11,162418.18%,164643072180.83002,₦57000000.00,288747.50%
737000130,17877,11,162418.18%,164643072180.83002,₦89988500.00,182860.13%
102024569,17877,10,178670.00%,164643072180.83002,₦69250000.00,237651.73%
111400135,17877,10,178670.00%,164643072180.83002,₦59109000.00,278441.46%
112006303,17877,10,178670.00%,164643072180.83002,₦277051600.00,59326.86%
160438358,17877,10,178670.00%,164643072180.83002,₦50000000.00,329186.14%
173408219,17877,10,178670.00%,164643072180.83002,₦61979500.00,265541.18%
194405899,17877,10,178670.00%,164643072180.83002,₦60975000.00,269917.34%
200030330,17877,10,178670.00%,164643072180.83002,₦90866905.00,181091.46%
